Year,Water,MOb,MOps,RECRbroad,SEsb,MObroad,Grass,RECRpb,SEbroad,Abandoned,MOp,MOs,INVb,MetsoT,MOmix,INVp,SEpsb,INDIFp,INDIFpsb,INDIFbroad,INVpb,INDIFs,INDIFpb,MOpb,INDIFb,RECRps,INVps,INDIFps,MOpsb,Wet,INVsb,RECRpsb,INDIFsb,INVpsb,INDIFmix,Open,SEb,Urban,MOsb,SEp,INVs,SEs,SEpb,RECRb,UForest,INVbroad,RECRsb,RECRp,Agr,INVmix,RECRmix,PA,RECRs,SEps,Metso,SEmix
2003,0.0,-3.049445895180563E-14,-7.646854395355066E-14,0.0,-7.41082571207339E-14,-7.002103881993921E-14,0.0,0.0,-3.501573913290629E-14,0.0,-2.5815201314665562E-14,-7.011556706640642E-14,-1.529575755852065E-14,0.0,-7.510413742402051E-14,-1.3965613609834021E-14,-1.3277349540624643E-13,-2.8282947961736655E-14,-1.8827408922841186E-13,-4.619328994762514E-14,-7.609682461248715E-14,-7.920017766291895E-14,-6.355771091469916E-14,-5.1452545995747447E-14,-4.960824534515656E-14,0.0,-5.131728496669048E-14,-7.698073033783347E-14,-1.5187217335349758E-13,0.0,-4.654447043157644E-14,0.0,-9.12540194857544E-14,-1.1540399940106192E-13,-1.1355631996600951E-13,0.0,-2.3538088549627565E-14,0.0,-5.4789748008104985E-14,-2.1984278491594515E-14,-3.810437677432687E-14,-5.662682681494424E-14,-3.978507156122147E-14,0.0,0.0,-4.096273238628093E-14,0.0,0.0,0.0,-8.261259914505978E-14,0.0,0.0,0.0,-8.524097479267917E-14,0.0,-8.848072077511711E-14
2004,0.0,0.0237137865956983,0.07305989843525634,0.0,0.07620647651890476,0.06933199754564418,0.0,0.0,0.03151435388964648,0.0,0.01741079279919322,0.06718142530224322,0.016060283675314736,0.0,0.0755041727719569,0.01444827025883234,0.14279205527645986,0.021538684846844576,0.20879938005658358,0.04005864164491989,0.08580069905078308,0.08148590806202938,0.053082972439500116,0.047225789073232195,0.04661529512417449,0.0,0.05672733022217361,0.07849728517425912,0.16300488653428571,0.0,0.03539539276832014,0.0,0.0967996198886981,0.13065010717122913,0.11946528526921303,0.0,0.01753544834023906,0.0,0.05149470630891374,0.01633684394246327,0.04086188481102522,0.05678629525841787,0.03589039504669691,0.0,0.0,0.04502053626618895,0.0,0.0,0.0,0.09313528242669258,0.0,0.0,0.0,0.08866012576495196,0.0,0.09426596189033233
2005,0.0,0.016648207564609267,0.04603001105270271,1.995670720060941E-4,0.048628672635748826,0.05063419366327469,0.0,0.31304433855289104,0.025381427038733247,0.0,0.010908968454025643,0.03977181415109218,0.010032038442425725,0.0,0.055145491999970944,0.007238217397121788,0.09206885419791018,0.015876110890061162,0.16450918952330074,0.025799260170063072,0.046597802205990156,0.05592540776508447,0.03875993464166484,0.030437005573427878,0.03648346625129328,0.0,0.027241696421105892,0.057134479061691834,0.10769858899224462,0.0,0.01520195310708799,1.9215355156413012E-4,0.0733354100020477,0.06986195402874601,0.07978847490827931,0.0,0.012272178159480047,0.0,0.03175664298390309,0.010287478095203374,0.016219415735173225,0.034850608029511655,0.022777278706571567,0.0,0.0,0.01950737039737233,0.0,0.0,0.0,0.0449358764555423,0.0,0.0,0.0,0.05705786735740163,0.0,0.0753962018545271
2006,0.0,0.018402019508644098,0.03647846598509351,0.01485474583048915,0.04391279256877002,0.05868488119480096,0.0,0.3751907757414398,0.033690862818459545,0.0,0.00961133271174721,0.029557407551086896,0.008666730048592749,1.316762832644932E-6,0.06380525562824914,0.0024878526355100175,0.08276395519469018,0.018490878037978244,0.19255802951249357,0.024041488866846355,0.022770645655411464,0.05815079908617686,0.045964068311968656,0.02854674832949209,0.04698679125865157,0.0,0.005997296932835119,0.06310686381799085,0.09943495689921407,0.0,-0.0012551610642189716,1.0283485769006876E-4,0.08939525457545354,0.03373852066235553,0.07882747291010998,0.0,0.013499889443986895,0.0,0.026384726431427957,0.00920801312642282,-0.005301549377589494,0.02475918398463599,0.020496863480413633,6.832895382755832E-5,0.0,-0.0010468617196960522,0.0,0.0,0.0,0.010541622374855045,0.0,0.0,0.0,0.05182771326475052,0.0,0.09859867535561985
2007,0.0,0.04118382975204893,0.13384344204089654,0.03797295658046644,0.13453264701896944,0.12289973359656026,0.0,0.766464872043901,0.06007039495046938,0.0,0.02895176878223198,0.11756962908967625,0.028853368767800508,1.5440727787758284,0.13636948341889643,0.024961300646195263,0.25678032930605743,0.03844239920530584,0.393767065262724,0.06912535808678816,0.15832823562359086,0.14415242307221293,0.09787087302184594,0.08294462760715544,0.08439705308721,0.0,0.09995199584523734,0.14350321968828236,0.2989363558447109,0.0,0.06306329176404263,-9.533291138731723E-4,0.1549595083997463,0.23528481475159027,0.2134819380027888,0.0,0.030104284344281997,0.0,0.08849810723143103,0.027623406564402847,0.06819091462849373,0.10401737292872877,0.062163806835801375,-0.0011944983123356946,0.0,0.07604636021219699,0.0,0.0,0.0,0.1647307813855338,0.0,0.0,0.0,0.15436852856517966,0.0,0.1728584312321051
2008,0.0,0.04618556751664328,0.13630484195638964,0.04104081235799649,0.1397964665020177,0.14077212920213097,0.0,0.8723376028955193,0.07220720871650228,0.0,0.030446552743771952,0.11760669890604285,0.029785692316943654,1.328731137602979,0.1541447933028309,0.0227332215655088,0.2675607103524519,0.043929485856614006,0.4461870888433694,0.07281147521815866,0.14775816688731522,0.15840874035882554,0.11038272280745415,0.08754330030227912,0.10018761969988013,0.0,0.08805210665630955,0.1586652806610669,0.3128563717702727,0.0,0.05254562209643573,-4.231344320569853E-4,0.17783867348082302,0.21985898734463563,0.22838388183572322,0.0,0.0338910798232912,0.0,0.09221254160239438,0.029067386389339336,0.0542497123534656,0.10289607823289905,0.06477497018253392,-8.543357364627907E-4,0.0,0.06747689213079863,0.0,0.0,0.0,0.14581706989331314,0.0,0.0,0.0,0.16099568580315676,4.817160814338921,0.2057215416781215
2009,0.0,0.03888409989022668,0.07818538473285318,0.03061175695015385,0.09214817392662111,0.1257778944547071,0.0,0.795582224116787,0.07483357952429817,0.0,0.019724287066056306,0.06256691020752318,0.018566047745100893,1.2149682314868024,0.135963413813274,0.005614502661162255,0.17619884917300338,0.039178151958791256,0.39727694707618466,0.04986291735469143,0.05083814260711144,0.1232535758243939,0.09903384151954585,0.06001121885427379,0.10058191298034459,0.0,0.014001647481412449,0.1345723427022626,0.21143462658657727,0.0,-0.0019489577486024345,-4.053248301711898E-4,0.16507589384462004,0.0737424219217134,0.1675418866682814,0.0,0.02848228826242044,0.0,0.05700019429967466,0.01915505846948444,-0.011064107124514963,0.05194270644534072,0.04258672427016871,-7.110921756439491E-4,0.0,-0.001106653364988025,0.0,0.0,0.0,0.023363058136984007,0.0,0.0,0.0,0.10853366440795598,4.097025601541891,0.2092322963530832
2010,0.0,0.07116234287878791,0.2200160346790202,0.06299217599366706,0.2194346123944198,0.2128857726424596,0.0,1.3079140496053205,0.10525370671787015,0.0,0.04811367856862653,0.19274732894325372,0.048523994751945104,0.618985763386353,0.2352507168506642,0.038556843998768305,0.42509109003237483,0.067445718035222,0.6622698928282993,0.11132942320123156,0.25539653387949257,0.243577613508203,0.16967201971390938,0.13804478930536354,0.1517478974136742,0.0,0.15638320804657316,0.2444923046287446,0.49403464163457755,0.0,0.0943664305065123,-9.730272845394658E-4,0.24697464566322752,0.3766671554568969,0.3577187123353878,0.0,0.05205012453002206,0.0,0.1502173867216046,0.04601210304111834,0.09760440825258529,0.16802260232652722,0.10320388532893918,-0.00183627097508959,0.0,0.12120514440254321,0.0,0.0013280933652970502,0.0,0.2564038515275812,0.0,0.0,0.0,0.252654382254541,3.6452649116834763,0.30421319741996544
2011,0.0,0.08500905437429589,0.26537943552850635,0.07489157174850612,0.2617446071187103,0.2503234666326153,0.0,1.5330294815884136,0.12242703561265296,0.0,0.05821287733667529,0.23405108256511784,0.05959981848076037,0.8761915458324729,0.2784146643723355,0.047674796650726194,0.5115551325318628,0.07998424075712615,0.7831792634947435,0.13280300967782036,0.31836828355793095,0.2934630004798903,0.2039310174270602,0.1660718145501728,0.17967446567875922,0.0,0.19170687653932253,0.28844957277960737,0.5938305012130259,0.0,0.11674061857081797,-9.955997758683871E-4,0.289333605326614,0.46209940241283526,0.4277807884219384,0.0,0.06197430007332065,0.0,0.17987739230720542,0.05558227205093224,0.12291905089685748,0.20570517969450275,0.12322858056544653,-0.0019390224599089465,0.0,0.14976206510282988,0.0,0.0016715208401985296,0.0,0.31738117843731395,0.0,0.0,0.0,0.30473878698559076,2.7402916220716445,0.3565487990808304
2012,0.0,0.09538958578191188,0.2959731650493367,0.08344392880031282,0.3020024947144169,0.27907848469522023,0.0,1.7087255350233543,0.137106249050504,0.0,0.06539295557191376,0.2603671816858988,0.06650512409866928,0.6466621929654823,0.3124581803785181,0.05304760183829227,0.5717829593429631,0.08985316720762636,0.8765312022374347,0.15695536795475534,0.3507526933938759,0.32925038202434403,0.2273876325814405,0.1852946765934348,0.20091472641655073,0.0,0.21216219800418962,0.32112480185444064,0.6634584699745358,0.0,0.12785549993136278,-9.181042856225472E-4,0.3228454150962391,0.5129473941712792,0.47813112513180744,0.0,0.06970258805548252,0.0,0.20140122822184994,0.062346544901661,0.1348957885704988,0.22746102768964008,0.13925357909964192,-7.966238694369909E-4,0.0,0.16406450449544696,0.0,0.0029326507764605124,0.0,0.3509061326197205,0.0,0.0,0.0,0.34001126673297327,1.9736279109679473,0.40123117374718686
