Year,Water,MOb,MOps,RECRbroad,SEsb,MObroad,Grass,RECRpb,SEbroad,Abandoned,MOp,MOs,INVb,MetsoT,MOmix,INVp,SEpsb,INDIFp,INDIFpsb,INDIFbroad,INVpb,INDIFs,INDIFpb,MOpb,INDIFb,RECRps,INVps,INDIFps,MOpsb,Wet,INVsb,RECRpsb,INDIFsb,INVpsb,INDIFmix,Open,SEb,Urban,MOsb,SEp,INVs,SEs,SEpb,RECRb,UForest,INVbroad,RECRsb,RECRp,Agr,INVmix,RECRmix,PA,RECRs,SEps,Metso,SEmix
2003,85345,590,584,,26,64,33609,,19,32755,51799,994,158,,22362,12837,4016,11890,3752,16,43,228,47,227,145,,148,132,15759,23681,24,,22,4035,4963,928,147,14111,107,12976,225,254,59,,982,19,,,28423,5633,,13457,,164,,5461
2004,85345,590,582,,26,64,33609,,19,32997,51709,990,158,,22321,12823,4009,11876,3748,16,43,228,46,227,145,,148,132,15740,23681,23,,22,4031,4955,928,147,14111,107,12952,224,254,59,,982,19,,,28423,5629,,13457,,164,,5457
2005,85345,589,582,10,26,64,33609,1,19,32998,51663,991,158,,22310,12767,4008,11890,3804,16,42,228,46,227,145,,147,133,15821,23681,23,1,22,4020,4953,928,147,14111,107,12933,224,252,59,,982,19,,,28423,5618,,13457,,164,,5453
2006,85345,586,582,18,26,64,33609,1,19,33174,51592,989,157,1,22289,12693,4009,11928,3839,16,42,229,45,225,144,,146,133,15839,23681,22,2,22,3998,4948,928,147,14111,108,12911,223,252,59,1,982,19,,,28423,5571,,13457,,166,,5445
2007,85345,584,583,18,26,65,33609,1,18,33365,51499,986,155,1,22287,12345,4011,12125,4069,16,40,232,48,225,145,,140,137,15877,23681,21,2,26,3900,4963,928,146,14111,108,12892,216,252,59,1,982,18,,1,28423,5402,,13457,,169,,5506
2008,85345,581,577,18,26,64,33609,1,18,33577,51241,980,154,2,22196,12286,3989,12078,4047,16,40,229,48,224,144,,140,137,15815,23681,21,3,26,3881,4939,928,145,14111,106,12819,216,251,59,1,982,17,,2,28423,5379,,13457,,169,535,5483
2009,85345,575,572,18,26,63,33609,1,18,33765,50854,972,154,1,22056,12226,3967,11993,4023,16,40,229,47,223,142,,137,134,15717,23681,21,3,26,3856,4908,928,144,14111,104,12716,215,250,59,1,982,17,,2,28423,5339,,13457,,168,1433,5449
2010,85345,570,570,18,26,64,33609,1,18,33967,50616,960,149,2,21919,11877,3951,12116,4171,17,38,230,47,223,140,,132,140,15730,23681,20,3,28,3747,4892,928,143,14111,103,12653,209,248,58,1,982,16,,3,28423,5179,,13457,,174,2050,5461
2011,85345,564,567,18,26,64,33609,1,18,34197,50147,951,145,5,21779,11720,3916,12032,4144,17,37,226,46,221,138,,132,140,15593,23681,20,3,28,3710,4857,928,142,14111,103,12534,207,244,58,1,982,16,,3,28423,5129,,13457,,172,3184,5425
2012,85345,561,563,18,25,64,33609,1,18,34429,49707,946,144,9,21631,11593,3884,11968,4125,16,37,224,46,220,138,,131,140,15478,23681,20,3,28,3681,4826,928,141,14111,102,12429,206,244,57,2,982,16,,2,28423,5094,,13457,,171,4153,5389
2013,85345,559,556,18,24,63,33609,1,18,34651,49370,942,140,12,21515,11486,3853,11900,4102,16,37,222,46,220,137,,129,138,15392,23681,20,3,28,3652,4803,928,140,14111,101,12346,204,244,57,2,982,16,,2,28423,5059,,13457,,170,4929,5357
2014,85345,555,552,17,24,61,33609,1,18,34877,49070,940,139,15,21391,11406,3835,11838,4092,16,37,222,46,220,136,,128,138,15313,23681,20,3,28,3629,4785,928,138,14111,100,12259,204,243,57,2,982,16,,,28423,5034,,13457,,169,5568,5338
2015,85345,554,550,17,23,61,33609,1,18,35085,48883,934,138,18,21309,11337,3820,11783,4082,16,37,222,46,220,135,,128,138,15260,23681,20,3,28,3611,4775,928,138,14111,100,12193,204,240,57,2,982,15,,,28423,5004,,13457,,169,5988,5318
2016,85345,550,549,17,23,61,33609,1,18,35292,48693,928,138,18,21243,11274,3808,11747,4075,16,37,220,46,220,134,,128,137,15213,23681,20,3,28,3598,4771,928,137,14111,100,12142,204,239,57,2,982,15,,,28423,4986,,13457,,169,6318,5305
2017,85345,549,547,17,23,61,33609,1,18,35500,48536,927,137,17,21191,11236,3802,11722,4072,16,37,220,46,220,133,,128,136,15180,23681,20,3,28,3589,4767,928,137,14111,100,12102,204,237,57,2,982,15,,,28423,4976,,13457,,169,6505,5297
2018,85345,549,547,17,23,61,33609,1,18,35728,48418,926,137,17,21151,11202,3792,11700,4068,16,37,220,46,220,133,,126,136,15150,23681,19,3,28,3580,4762,928,136,14111,100,12073,203,237,55,2,982,15,,,28423,4952,,13457,,169,6621,5286
2019,85345,549,547,20,22,61,33609,1,18,35926,48353,925,136,17,21135,11160,3783,11694,4064,16,36,220,46,221,133,,126,137,15136,23681,17,4,28,3572,4755,928,136,14111,100,12051,201,236,55,2,982,15,1,3,28423,4945,2,13457,,169,6628,5278
2020,85345,547,549,22,22,60,33609,1,18,36128,48291,922,135,17,21128,11108,3778,11689,4057,16,35,220,45,224,133,,125,136,15146,23681,17,4,28,3553,4752,928,135,14111,99,12022,200,235,55,3,982,15,1,3,28423,4934,2,13457,,170,6633,5267
