Year,Supply:Timber,Supply:Carbon,Supply:Biodiversity,Supply:Recreation,Supply:MetsoArea,Demand:Timber,Demand:Carbon,Demand:Biodiversity,Demand:Recreation,Demand:MetsoArea
2003,41559.54682179139,346427.1834557052,5338.062710361964,60024.56542375611,0.0,41559.546821790915,346427.1834556975,0.0,60024.56542375458,0.0
2004,41128.83380956714,342295.3704954709,5318.837841678151,59924.91592546904,0.0,41439.96911457292,351701.20147266315,0.0,60024.56542375458,0.0
2005,41763.11907655899,348715.25512376113,5337.740555799756,59995.3630998611,0.0,39588.87473902068,357601.2216281614,0.0,60024.56542375458,0.0
2006,41859.756923112735,349701.8395466368,5346.164251382908,60014.63208365776,0.0,35789.13575308045,363501.24178365956,0.0,60024.56542375458,0.0
2007,41820.25429161395,350405.8777732194,5387.564487125583,60198.215938168396,0.07726459801197046,41278.696548917076,369401.26193915773,0.0,60024.56542375458,1750.0
2008,41820.630486108974,350409.41184409114,5387.797389036008,60148.76471193003,140.26113443030044,37522.22581229915,375301.28209465597,0.0,60024.56542375458,1750.0
2009,41820.455899303415,350410.40005598945,5393.923199889685,60127.94064063099,373.3064635581337,30697.642851008997,381201.30225015414,0.0,60024.56542375458,1750.0
2010,41755.126530625865,350859.53381824703,5489.1552641879625,60291.513812157034,541.2869178342632,38054.03193124234,387101.3224056523,0.0,60024.56542375458,1750.0
2011,41756.230171641524,350869.88715810067,5490.454844173045,60306.45133698348,839.1885893998201,38591.34491828109,393001.3425611505,0.0,60024.56542375458,1750.0
2012,41756.24778695446,350869.9614342078,5491.2287206501,60294.74833059551,1092.4011010562535,37843.98424816862,398901.3627166487,0.0,60024.56542375458,1750.0
2013,41756.344423299175,350870.91577326483,5491.231653586568,60278.83602399362,1291.1102486250456,42384.0036452413,404801.3828721469,0.0,60024.56542375458,1750.0
2014,41756.8465908472,350874.19903381536,5491.60355278231,60239.88324171714,1456.6330518161412,42541.342733686026,410701.403027645,0.0,60024.56542375458,1750.0
2015,41757.00850447232,350875.1139154906,5491.720098515093,60202.01055014807,1568.2659423131029,45366.366066711154,416601.42318314326,0.0,60024.56542375458,1750.0
2016,41757.54090550426,350878.67885989556,5491.809108387399,60151.12829881059,1654.9211154229472,46874.46122945389,422501.44333864143,0.0,60024.56542375458,1750.0
2017,41757.728462327206,350879.8504272228,5491.88458908362,60082.09225346249,1706.2359245396683,48111.14646462946,428401.4634941396,0.0,60024.56542375458,1750.0
2018,41758.152323159855,350883.0540366472,5492.043167131132,60007.13819309919,1736.6168069816658,52761.30322361345,434301.48364963784,0.0,60024.56542375458,1750.0
2019,41758.152323159135,350883.05362918257,5492.043167131047,59980.24920688429,1739.3765035546849,49059.90116795118,440201.503805136,0.0,60024.56542375458,1750.0
2020,41758.458934417424,350884.78124082513,5492.086591600315,59958.31653869746,1741.4851243175099,45463.91630154689,446101.5239606342,0.0,60024.56542375458,1750.0
