ID,X,Y,Region_Code
0,0,0,regionB
1,0,1,regionB
2,0,2,regionB
3,0,3,regionB
4,0,4,regionB
5,0,5,regionB
6,0,6,regionB
7,0,7,regionB
8,0,8,regionB
9,0,9,regionB
10,1,0,regionB
11,1,1,regionB
12,1,2,regionB
13,1,3,regionB
14,1,4,regionB
15,1,5,regionB
16,1,6,regionB
17,1,7,regionB
18,1,8,regionB
19,1,9,regionB
20,2,0,regionB
21,2,1,regionB
22,2,2,regionB
23,2,3,regionB
24,2,4,regionB
25,2,5,regionB
26,2,6,regionB
27,2,7,regionB
28,2,8,regionB
29,2,9,regionB
30,3,0,regionB
31,3,1,regionB
32,3,2,regionB
33,3,3,regionB
34,3,4,regionB
35,3,5,regionB
36,3,6,regionB
37,3,7,regionB
38,3,8,regionB
39,3,9,regionB
40,4,0,regionB
41,4,1,regionB
42,4,2,regionB
43,4,3,regionB
44,4,4,regionB
45,4,5,regionB
46,4,6,regionB
47,4,7,regionB
48,4,8,regionB
49,4,9,regionB
50,5,0,regionB
51,5,1,regionB
52,5,2,regionB
53,5,3,regionB
54,5,4,regionB
55,5,5,regionB
56,5,6,regionB
57,5,7,regionB
58,5,8,regionA
59,5,9,regionA
60,6,0,regionA
61,6,1,regionA
62,6,2,regionA
63,6,3,regionA
64,6,4,regionA
65,6,5,regionA
66,6,6,regionA
67,6,7,regionA
68,6,8,regionA
69,6,9,regionA
70,7,0,regionA
71,7,1,regionA
72,7,2,regionA
73,7,3,regionA
74,7,4,regionA
75,7,5,regionA
76,7,6,regionA
77,7,7,regionA
78,7,8,regionA
79,7,9,regionA
80,8,0,regionA
81,8,1,regionA
82,8,2,regionA
83,8,3,regionA
84,8,4,regionA
85,8,5,regionA
86,8,6,regionA
87,8,7,regionA
88,8,8,regionA
89,8,9,regionA
90,9,0,regionA
91,9,1,regionA
92,9,2,regionA
93,9,3,regionA
94,9,4,regionA
95,9,5,regionA
96,9,6,regionA
97,9,7,regionA
98,9,8,regionA
99,9,9,regionA
