ID,X,Y,Owner
0,0,0,Forest
1,0,1,Pasture
2,0,2,Forest
3,0,3,Forest
4,0,4,Forest
5,0,5,Forest
6,0,6,Forest
7,0,7,Crop
8,0,8,Forest
9,0,9,Pasture
10,1,0,Crop
11,1,1,Crop
12,1,2,Forest
13,1,3,Forest
14,1,4,Pasture
15,1,5,Forest
16,1,6,Forest
17,1,7,Pasture
18,1,8,Crop
19,1,9,Pasture
20,2,0,Forest
21,2,1,Forest
22,2,2,Forest
23,2,3,Forest
24,2,4,Forest
25,2,5,Pasture
26,2,6,Forest
27,2,7,Pasture
28,2,8,Forest
29,2,9,Forest
30,3,0,Pasture
31,3,1,Forest
32,3,2,Pasture
33,3,3,Crop
34,3,4,Forest
35,3,5,Forest
36,3,6,Crop
37,3,7,Crop
38,3,8,Forest
39,3,9,Pasture
40,4,0,Forest
41,4,1,Crop
42,4,2,Crop
43,4,3,Forest
44,4,4,Crop
45,4,5,Pasture
46,4,6,Pasture
47,4,7,Pasture
48,4,8,Crop
49,4,9,Forest
50,5,0,Crop
51,5,1,Pasture
52,5,2,Forest
53,5,3,Pasture
54,5,4,Forest
55,5,5,Crop
56,5,6,Crop
57,5,7,Pasture
58,5,8,Crop
59,5,9,Forest
60,6,0,Crop
61,6,1,Pasture
62,6,2,Forest
63,6,3,Pasture
64,6,4,Forest
65,6,5,Pasture
66,6,6,Crop
67,6,7,Forest
68,6,8,Pasture
69,6,9,Crop
70,7,0,Pasture
71,7,1,Pasture
72,7,2,Pasture
73,7,3,Pasture
74,7,4,Forest
75,7,5,Pasture
76,7,6,Forest
77,7,7,Pasture
78,7,8,Forest
79,7,9,Pasture
80,8,0,Pasture
81,8,1,Crop
82,8,2,Pasture
83,8,3,Pasture
84,8,4,Pasture
85,8,5,Crop
86,8,6,Forest
87,8,7,Crop
88,8,8,Forest
89,8,9,Forest
90,9,0,Forest
91,9,1,Forest
92,9,2,Pasture
93,9,3,Crop
94,9,4,Crop
95,9,5,Forest
96,9,6,Crop
97,9,7,Forest
98,9,8,Pasture
99,9,9,Pasture
