ID,X,Y,Year_
0,0,0,1
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,1
5,0,5,1
6,0,6,0
7,0,7,1
8,0,8,0
9,0,9,0
10,1,0,0
11,1,1,0
12,1,2,0
13,1,3,0
14,1,4,1
15,1,5,1
16,1,6,1
17,1,7,0
18,1,8,0
19,1,9,0
20,2,0,1
21,2,1,0
22,2,2,0
23,2,3,0
24,2,4,1
25,2,5,1
26,2,6,0
27,2,7,0
28,2,8,0
29,2,9,0
30,3,0,0
31,3,1,0
32,3,2,0
33,3,3,0
34,3,4,1
35,3,5,1
36,3,6,0
37,3,7,0
38,3,8,0
39,3,9,0
40,4,0,0
41,4,1,0
42,4,2,0
43,4,3,0
44,4,4,1
45,4,5,1
46,4,6,0
47,4,7,0
48,4,8,1
49,4,9,0
50,5,0,0
51,5,1,1
52,5,2,1
53,5,3,1
54,5,4,1
55,5,5,0
56,5,6,0
57,5,7,1
58,5,8,1
59,5,9,0
60,6,0,1
61,6,1,1
62,6,2,0
63,6,3,0
64,6,4,0
65,6,5,1
66,6,6,1
67,6,7,1
68,6,8,1
69,6,9,1
70,7,0,1
71,7,1,0
72,7,2,0
73,7,3,0
74,7,4,1
75,7,5,1
76,7,6,1
77,7,7,0
78,7,8,1
79,7,9,0
80,8,0,0
81,8,1,0
82,8,2,1
83,8,3,0
84,8,4,1
85,8,5,1
86,8,6,0
87,8,7,0
88,8,8,0
89,8,9,0
90,9,0,0
91,9,1,0
92,9,2,1
93,9,3,0
94,9,4,1
95,9,5,1
96,9,6,0
97,9,7,0
98,9,8,0
99,9,9,0
