ID,X,Y,Conifer,Broadleaf,C3,C4,human
0,0,0,0.29262984,0.9562258,0.64726806,0.03448343,0.6244278
1,0,1,0.989297,0.14591621,0.4558998,0.49555793,0.56760657
2,0,2,0.24216567,0.97023493,0.37008852,0.7080892,0.36403462
3,0,3,0.6423056,0.7664486,0.3379108,0.7706831,0.7043771
4,0,4,0.99619323,0.08717237,0.31339952,0.8119248,0.45451045
5,0,5,0.5790971,0.81525856,0.29583657,0.83819467,0.11808073
6,0,6,0.13272789,0.9911525,0.28304213,0.85568506,0.5619402
7,0,7,0.92355865,0.38345715,0.26799726,0.8745549,0.6535079
8,0,8,0.44684097,0.8946134,0.25040162,0.8944128,0.2238862
9,0,9,0.3807311,0.9246858,0.24964468,0.8952157,0.27197734
10,1,0,0.62953794,0.77696973,0.5478846,0.23026638,0.70325387
11,1,1,0.99958646,0.028756902,0.44607267,0.5228328,0.51417166
12,1,2,0.020328226,0.99979335,0.36144015,0.7258709,0.48973256
13,1,3,0.69208795,0.7218132,0.33598167,0.7741278,0.70695055
14,1,4,0.8384429,0.5449894,0.30305496,0.8277202,0.14672679
15,1,5,0.055307936,0.99846935,0.28428134,0.85405004,0.52688867
16,1,6,0.6095108,0.7927778,0.2751692,0.8657833,0.7011443
17,1,7,0.9506625,0.31022713,0.25918698,0.8847875,0.32021767
18,1,8,0.4921068,0.87053484,0.25094056,0.8938386,0.18921402
19,1,9,0.2574568,0.9662898,0.24318475,0.9019009,0.6118733
20,2,0,0.95325214,0.30217606,0.47076586,0.45327747,0.6277141
21,2,1,0.6773454,0.73566514,0.39240795,0.6589479,0.029159881
22,2,2,0.67793447,0.7351223,0.33653814,0.7731377,0.7065284
23,2,3,0.99449277,0.104805306,0.31300327,0.8125471,0.44484374
24,2,4,0.37468222,0.9271533,0.29164615,0.8440728,0.27623552
25,2,5,0.29211488,0.9563832,0.2804988,0.8590017,0.62424904
26,2,6,0.84438574,0.5357357,0.27028918,0.8717954,0.69006073
27,2,7,0.8434122,0.537267,0.2562837,0.8880313,0.1530726
28,2,8,0.24162163,0.97037053,0.24814057,0.89679885,0.36437446
29,2,9,0.7399381,0.672675,0.23793814,0.90711397,0.7063065
30,3,0,0.9982136,0.059746858,0.44858477,0.5159181,0.5289802
31,3,1,0.09255124,0.9957079,0.35734585,0.73404264,0.5441296
32,3,2,0.91350955,0.40681723,0.32551476,0.7922213,0.6601634
33,3,3,0.987665,0.15658195,0.31184503,0.81435823,0.4155415
34,3,4,0.3050952,0.9523219,0.29035985,0.8458477,0.32361332
35,3,5,0.33095664,0.94364595,0.2798742,0.8598082,0.6373013
36,3,6,0.79992414,0.6001011,0.25542355,0.8889803,0.099911526
37,3,7,0.73530495,0.6777364,0.25430104,0.8902106,0.028784283
38,3,8,0.3514348,0.93621236,0.24225278,0.9028409,0.64382356
39,3,9,0.9485362,0.3166687,0.2343561,0.9105639,0.63260245
40,4,0,0.6015199,0.7988578,0.38760686,0.66991097,0.098668955
41,4,1,0.3989934,0.9169538,0.34665912,0.7546278,0.6579736
42,4,2,0.91167873,0.4109038,0.32562932,0.7920287,0.66129124
43,4,3,0.65407753,0.7564275,0.29760736,0.8356662,0.051175002
44,4,4,0.6550486,0.75558674,0.2743284,0.86683244,0.7053177
45,4,5,0.9781826,0.20774695,0.2656108,0.877385,0.59296477
46,4,6,0.91677564,0.39940265,0.25807354,0.88603896,0.25868648
47,4,7,0.3242405,0.94597465,0.24902132,0.8958738,0.31086707
48,4,8,0.93773204,0.34735948,0.23463014,0.91030306,0.64254576
49,4,9,0.7902953,0.61272615,0.22655426,0.91777825,0.08878456
50,5,0,0.47261676,0.8812681,0.38056415,0.6856053,0.20432565
51,5,1,0.7377375,0.67508775,0.33413374,0.77739525,0.7064126
52,5,2,0.9913256,0.13142885,0.31240684,0.8134812,0.4299484
53,5,3,0.68086475,0.7324092,0.29828513,0.8346914,0.025772212
54,5,4,0.73272216,0.68052787,0.27280557,0.86871856,0.70662504
55,5,5,0.9978843,0.06501506,0.26218647,0.8813699,0.4664346
56,5,6,0.5821274,0.8130976,0.25207594,0.89262205,0.11548512
57,5,7,0.7014851,0.7126841,0.23843034,0.906633,0.7070846
