ID,X,Y,Conifer,Broadleaf,C3,C4,human
0,0,0,0.87142396,0.49053067,0.49294138,0.38864368,0.6809773
1,0,1,0.9604098,0.27859113,0.42349648,0.5829642,0.34090933
2,0,2,0.47044805,0.8824277,0.3804548,0.6858453,0.20598982
3,0,3,0.37677154,0.9263062,0.34743083,0.7531773,0.6515389
4,0,4,0.98685104,0.16163228,0.31173238,0.8145337,0.41260937
5,0,5,0.117179275,0.9931108,0.2871014,0.8502825,0.43796575
6,0,6,0.22617824,0.9740859,0.28155276,0.85763365,0.6001321
7,0,7,0.9318751,0.36277923,0.2585338,0.8855227,0.28454792
8,0,8,0.40598768,0.91387856,0.24993005,0.8949135,0.25394544
9,0,9,0.7437317,0.6684783,0.23788814,0.90716267,0.706105
10,1,0,0.99443424,0.10535899,0.45239216,0.50536144,0.5498966
11,1,1,0.5782058,0.8158909,0.38624278,0.67298687,0.11884255
12,1,2,0.4366778,0.89961797,0.3453454,0.75708437,0.6681479
13,1,3,0.92195004,0.38730884,0.30669644,0.82226634,0.2673206
14,1,4,0.48647845,0.8736926,0.2938454,0.8410062,0.19360706
15,1,5,0.26891336,0.9631644,0.28087038,0.8585204,0.61603886
16,1,6,0.9705427,0.24092905,0.26604643,0.87687165,0.6057359
17,1,7,0.5315404,0.84703296,0.25142637,0.8933192,0.15774627
18,1,8,0.05995017,0.9982014,0.245114,0.8999354,0.52907574
19,1,9,0.9716274,0.23651679,0.23365822,0.91122586,0.6040721
20,2,0,0.66473365,0.74708045,0.3915654,0.66088724,0.04117339
21,2,1,0.33295164,0.94294393,0.34894875,0.7503078,0.6379478
22,2,2,0.971936,0.23524545,0.32098606,0.7997407,0.6035907
23,2,3,0.8943149,0.44743815,0.30532995,0.82432646,0.22343837
24,2,4,0.204901,0.9787827,0.2885902,0.84826714,0.38694087
25,2,5,0.97258687,0.23253995,0.26593575,0.87700224,0.6025634
26,2,6,0.751955,0.6592145,0.25457618,0.8899099,0.046370253
27,2,7,0.11536884,0.99332273,0.24684712,0.89814734,0.43897694
28,2,8,0.62113553,0.78370315,0.23939148,0.90568906,0.70241934
29,2,9,0.8319359,0.5548718,0.22709231,0.91729367,0.13853203
30,3,0,0.2152252,0.97656447,0.368981,0.7104058,0.38066962
31,3,1,0.9834262,0.1813089,0.3196526,0.8019195,0.58236754
32,3,2,0.75908095,0.65099627,0.3004478,0.8315548,0.05404233
33,3,3,0.017441643,0.9998479,0.28545764,0.85248643,0.49120313
34,3,4,0.8705491,0.4920816,0.26960343,0.8726253,0.68131536
35,3,5,0.99959236,0.028550223,0.2633383,0.88003945,0.5140713
36,3,6,0.1490106,0.9888356,0.24424534,0.90082365,0.5689231
37,3,7,0.86528337,0.50128305,0.23608212,0.9089125,0.6832832
38,3,8,0.99999875,0.001570991,0.23171102,0.9130554,0.5007849
39,3,9,0.0659353,0.9978239,0.21957742,0.9238904,0.5318796
40,4,0,0.5381199,0.84286827,0.34175375,0.7637181,0.6904941
41,4,1,0.9885098,0.15115704,0.31196606,0.81416947,0.41867638
42,4,2,0.6658335,0.7461004,0.29790148,0.83524364,0.040133476
43,4,3,0.22897069,0.9734333,0.2815082,0.85769165,0.601202
44,4,4,0.999996,0.0028282565,0.2630201,0.88040805,0.50141215
45,4,5,0.54565483,0.83801,0.25160444,0.8931284,0.14617759
46,4,6,0.5105045,0.8598751,0.24061403,0.9044791,0.6851898
47,4,7,0.90393156,0.42767718,0.23536952,0.90959674,0.6658044
48,4,8,0.3065587,0.9518518,0.2221884,0.92163986,0.32264653
49,4,9,0.34593454,0.93825865,0.21765697,0.925518,0.6420966
50,5,0,0.99806184,0.062230416,0.31396195,0.8110391,0.46791568
51,5,1,0.57185787,0.82035273,0.295674,0.83842546,0.12424744
52,5,2,0.3219397,0.9467602,0.28001955,0.8596208,0.63434994
53,5,3,0.94500834,0.32704628,0.2672076,0.8754962,0.6360273
54,5,4,0.8242789,0.566184,0.25589228,0.88846385,0.12904744
55,5,5,0.5528671,0.8332694,0.24015659,0.90493304,0.69306827
56,5,6,0.9079075,0.41917065,0.2352895,0.90967333,0.66353905
57,5,7,0.8439158,0.5364756,0.22725883,0.91714334,0.15372013
58,5,8,0.21153468,0.9773705,0.2214979,0.9222393,0.3829179
59,5,9,0.8966043,0.4428326,0.21283689,0.9295005,0.66971844
60,6,0,0.62255484,0.7825762,0.2968422,0.836762,0.0800107
61,6,1,0.19021548,0.9817424,0.2821259,0.8568859,0.5859789
62,6,2,0.88405067,0.46739104,0.2692268,0.87307954,0.6757209
63,6,3,0.9505245,0.31064957,0.25918174,0.88479334,0.31993747
64,6,4,0.32242122,0.9465963,0.24254245,0.9025494,0.6345088
65,6,5,0.762793,0.64664274,0.23763259,0.90741163,0.7047179
66,6,6,0.88568157,0.4642932,0.22789527,0.916567,0.21069416
67,6,7,0.11245196,0.9936572,0.21926136,0.9241599,0.5530546
68,6,8,0.927715,0.37328932,0.21237187,0.9298771,0.65050215
69,6,9,0.7828832,0.62216866,0.20626193,0.93470156,0.080357276
70,7,0,0.04671953,0.99890804,0.28593582,0.8518476,0.47609425
71,7,1,0.9170326,0.39881223,0.2682169,0.87429214,0.6579224
72,7,2,0.77599096,0.63074404,0.25498965,0.889457,0.072623454
73,7,3,0.33351958,0.9427432,0.24912241,0.8957673,0.3046118
74,7,4,0.6113372,0.7913702,0.23950377,0.9055784,0.7013537
75,7,5,0.9722045,0.23413318,0.22981094,0.9148162,0.36903566
76,7,6,0.15732613,0.9875467,0.221114,0.9225713,0.4151103
77,7,7,0.57497376,0.81817186,0.21596959,0.9269287,0.6965728
78,7,8,0.99739724,0.07210195,0.2096644,0.932043,0.46264765
79,7,9,0.7362391,0.6767215,0.20586634,0.93500614,0.02975877
80,8,0,0.24672675,0.9690851,0.2812249,0.8580602,0.6079059
81,8,1,0.99833286,0.057719696,0.26370105,0.8796184,0.5280263
82,8,2,0.1743196,0.9846891,0.24744456,0.89752597,0.40518478
83,8,3,0.6986883,0.71542615,0.23846519,0.90659887,0.70705724
84,8,4,0.94084316,0.33884242,0.23455366,0.9103759,0.63984275
85,8,5,0.75259316,0.65848583,0.22610992,0.91817695,0.047053665
86,8,6,0.07231628,0.99738175,0.21953405,0.9239274,0.534849
87,8,7,0.99011695,0.14024416,0.20926598,0.93235797,0.42493638
88,8,8,0.3881486,0.9215968,0.20355342,0.93676805,0.2667241
89,8,9,0.13034655,0.9914685,0.2021508,0.937821,0.43056098
90,9,0,0.9860706,0.16632749,0.26094997,0.8827869,0.40987155
